Total accesses: 7086622
Frames	Miss Rate
771	0.094041
772	0.093972
773	0.093905
774	0.093832
775	0.093766
776	0.093696
777	0.093627
778	0.093561
779	0.093492
780	0.093421
781	0.093345
782	0.093279
783	0.093215
784	0.093145
785	0.093077
786	0.093012
787	0.092940
788	0.092872
789	0.092804
790	0.092742
791	0.092677
792	0.092610
793	0.092545
794	0.092480
795	0.092414
796	0.092347
797	0.092278
798	0.092207
799	0.092139
800	0.092068
801	0.091999
802	0.091936
803	0.091870
804	0.091807
805	0.091749
806	0.091682
807	0.091612
808	0.091550
809	0.091483
810	0.091423
811	0.091363
812	0.091295
813	0.091236
814	0.091179
815	0.091117
816	0.091052
817	0.090989
818	0.090929
819	0.090867
820	0.090803
821	0.090750
822	0.090691
823	0.090628
824	0.090567
825	0.090502
826	0.090437
827	0.090376
828	0.090318
829	0.090258
830	0.090199
831	0.090142
832	0.090078
833	0.090018
834	0.089961
835	0.089903
836	0.089844
837	0.089779
838	0.089719
839	0.089656
840	0.089592
841	0.089527
842	0.089464
843	0.089403
844	0.089342
845	0.089281
846	0.089218
847	0.089149
848	0.089088
849	0.089025
850	0.088962
851	0.088902
852	0.088848
853	0.088785
854	0.088721
855	0.088661
856	0.088597
857	0.088534
858	0.088475
859	0.088417
860	0.088364
861	0.088300
862	0.088242
863	0.088183
864	0.088115
865	0.088056
866	0.087995
867	0.087938
868	0.087873
869	0.087816
870	0.087755
871	0.087699
872	0.087642
873	0.087581
874	0.087524
875	0.087461
876	0.087405
877	0.087352
878	0.087290
879	0.087236
880	0.087175
881	0.087116
882	0.087059
883	0.086997
884	0.086943
885	0.086884
886	0.086825
887	0.086766
888	0.086706
889	0.086653
890	0.086597
891	0.086546
892	0.086489
893	0.086429
894	0.086368
895	0.086312
896	0.086253
897	0.086190
898	0.086129
899	0.086068
900	0.086007
901	0.085948
902	0.085892
903	0.085834
904	0.085776
905	0.085722
906	0.085666
907	0.085603
908	0.085548
909	0.085490
910	0.085435
911	0.085379
912	0.085319
913	0.085256
914	0.085194
915	0.085123
916	0.085061
917	0.085001
918	0.084937
919	0.084879
920	0.084825
921	0.084767
922	0.084705
923	0.084642
924	0.084580
925	0.084523
926	0.084466
927	0.084408
928	0.084347
929	0.084290
930	0.084233
931	0.084171
932	0.084112
933	0.084060
934	0.084006
935	0.083942
936	0.083883
937	0.083825
938	0.083770
939	0.083711
940	0.083654
941	0.083599
942	0.083540
943	0.083482
944	0.083425
945	0.083370
946	0.083311
947	0.083256
948	0.083203
949	0.083144
950	0.083084
951	0.083026
952	0.082972
953	0.082918
954	0.082859
955	0.082801
956	0.082746
957	0.082692
958	0.082633
959	0.082580
960	0.082524
961	0.082468
962	0.082410
963	0.082356
964	0.082300
965	0.082243
966	0.082186
967	0.082131
968	0.082072
969	0.082017
970	0.081959
971	0.081902
972	0.081850
973	0.081793
974	0.081738
975	0.081682
976	0.081625
977	0.081566
978	0.081513
979	0.081462
980	0.081403
981	0.081349
982	0.081292
983	0.081235
984	0.081178
985	0.081124
986	0.081072
987	0.081016
988	0.080964
989	0.080917
