Total accesses: 7086622
Frames	Miss Rate
202	0.093472
203	0.093207
204	0.092947
205	0.092688
206	0.092430
207	0.092181
208	0.091927
209	0.091667
210	0.091419
211	0.091176
212	0.090928
213	0.090680
214	0.090432
215	0.090188
216	0.089943
217	0.089705
218	0.089477
219	0.089236
220	0.088998
221	0.088773
222	0.088547
223	0.088313
224	0.088084
225	0.087869
226	0.087638
227	0.087417
228	0.087200
229	0.086980
230	0.086753
231	0.086531
232	0.086320
233	0.086108
234	0.085906
235	0.085688
236	0.085473
237	0.085272
238	0.085067
239	0.084866
240	0.084664
241	0.084457
242	0.084256
243	0.084054
244	0.083852
245	0.083647
246	0.083453
247	0.083254
248	0.083059
249	0.082851
250	0.082652
251	0.082454
252	0.082254
253	0.082061
254	0.081873
255	0.081688
256	0.081501
257	0.081311
258	0.081116
259	0.080929
260	0.080746
261	0.080564
262	0.080382
263	0.080197
264	0.079995
265	0.079803
266	0.079619
267	0.079435
268	0.079248
269	0.079070
270	0.078882
271	0.078703
272	0.078521
273	0.078340
274	0.078162
275	0.077986
276	0.077798
277	0.077607
278	0.077425
279	0.077246
280	0.077069
281	0.076890
282	0.076712
283	0.076534
284	0.076357
285	0.076182
286	0.076013
287	0.075839
288	0.075664
289	0.075489
290	0.075317
291	0.075141
292	0.074968
293	0.074802
294	0.074638
295	0.074481
296	0.074321
297	0.074155
298	0.073995
299	0.073835
300	0.073678
301	0.073528
302	0.073375
303	0.073215
304	0.073055
305	0.072897
306	0.072741
307	0.072586
308	0.072427
309	0.072269
310	0.072114
311	0.071958
312	0.071804
313	0.071650
314	0.071496
315	0.071342
316	0.071189
317	0.071045
318	0.070895
319	0.070744
320	0.070593
321	0.070448
322	0.070293
323	0.070142
324	0.069995
325	0.069850
326	0.069700
327	0.069561
328	0.069419
329	0.069279
330	0.069132
331	0.068993
332	0.068851
333	0.068702
334	0.068563
335	0.068418
336	0.068272
337	0.068126
338	0.067988
339	0.067854
340	0.067715
341	0.067579
342	0.067436
343	0.067294
344	0.067157
345	0.067024
346	0.066883
347	0.066744
348	0.066603
349	0.066460
350	0.066320
351	0.066184
352	0.066045
353	0.065903
354	0.065766
355	0.065638
356	0.065505
357	0.065371
358	0.065238
359	0.065107
360	0.064976
361	0.064843
362	0.064722
363	0.064602
364	0.064474
365	0.064349
366	0.064227
367	0.064089
368	0.063954
369	0.063825
370	0.063708
371	0.063585
372	0.063456
373	0.063329
374	0.063199
375	0.063069
376	0.062945
377	0.062822
378	0.062704
379	0.062583
380	0.062452
381	0.062331
382	0.062196
383	0.062073
384	0.061956
385	0.061835
386	0.061710
387	0.061583
388	0.061467
389	0.061354
390	0.061233
391	0.061115
392	0.060999
393	0.060880
394	0.060764
395	0.060648
396	0.060526
397	0.060407
398	0.060293
399	0.060178
400	0.060064
401	0.059948
402	0.059831
403	0.059708
404	0.059595
405	0.059485
406	0.059378
407	0.059261
408	0.059150
409	0.059042
410	0.058930
411	0.058817
412	0.058699
413	0.058578
414	0.058462
415	0.058350
416	0.058237
417	0.058121
418	0.058003
419	0.057887
420	0.057777
421	0.057664
422	0.057545
423	0.057434
424	0.057322
425	0.057216
426	0.057113
427	0.057001
428	0.056894
429	0.056786
430	0.056678
431	0.056572
432	0.056461
433	0.056362
434	0.056248
435	0.056148
436	0.056041
437	0.055939
438	0.055837
439	0.055731
440	0.055635
441	0.055531
442	0.055426
443	0.055323
444	0.055229
445	0.055128
446	0.055025
447	0.054925
448	0.054832
449	0.054727
450	0.054628
451	0.054524
452	0.054421
453	0.054322
454	0.054219
